
#<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
30-08-2017 11:00:33 PID: 8325
Attaching to process ID 8325, please wait...
Debugger attached successfully.
Server compiler detected.
JVM version is 25.65-b01
class_loader	classes	bytes	parent_loader	alive?	type
total = 135	8963	15989729	    N/A    	alive=5, dead=130	    N/A    
# jmap -clstats done######################
8325:
Index Super InstBytes KlassBytes annotations    CpAll MethodCount Bytecodes MethodAll    ROAll    RWAll    Total ClassName
    1    -1   9843432        480           0        0           0         0         0       24      584      608 [C
    2    -1   5483224        480           0        0           0         0         0       24      584      608 [B
    3    23   1839328        560           0     1296           7       149      1520      880     2808     3688 java.util.HashMap$Node
    4    23   1816416        624           0     8712          94      4623     51264    12128    49552    61680 java.lang.String
    5    23    985888        648           0    19384         130      4973     64176    16544    69440    85984 java.lang.Class
    6    -1    842752        480           0        0           0         0         0       32      584      616 [Ljava.util.HashMap$Node;
    7  4668    706304        568           0     4464          55      3260     21904     7696    20072    27768 java.lang.Integer
    8    -1    487824        480           0        0           0         0         0       24      584      608 [Ljava.lang.Object;
    9    -1    468792        480           0        0           0         0         0       24      584      608 [I
   10  4827    439560       1112           0     5512          40       847     16864     4224    19944    24168 java.lang.reflect.Method
   11    23    411680        568           0     1344           8       223      1744     1024     2952     3976 java.util.concurrent.ConcurrentHashMap$Node
   12     3    387880        560           0      384           1        10       496      232     1432     1664 java.util.LinkedHashMap$Entry
   13    -1    348328        480           0        0           0         0         0       48      584      632 [Ljava.lang.String;
   14    23    346752        504           0     7360          36      2203     21464     5792    24248    30040 java.net.URL
   15    23    336128        584           0     1424           8       240      1760     1040     3048     4088 java.util.Hashtable$Entry
   16    23    261568        520           0     1184           9       343      5368     1120     6216     7336 antlr.ANTLRHashString
   17  5068    240384       1000           0     6864          51      3955     27800     8664    27944    36608 java.util.HashMap
   18    23    206560        512           0      656           1        32       496      240     1616     1856 org.apache.catalina.loader.ResourceEntry
   19  3394    150048       1000           0     1288           9       140      3464     1112     4928     6040 org.hibernate.hql.ast.tree.Node
   20    23    145760        560           0     1288           7       171      1832      928     3088     4016 java.util.TreeMap$Entry
   21    17    126784       1104           0     3360          26       883     10392     3216    12216    15432 java.util.LinkedHashMap
   22  4824    124992        720           0     5816          44      1696     15736     5912    17072    22984 java.lang.reflect.Field
   23    -1    109616        496           0     1144          14       109      4272     1112     5024     6136 java.lang.Object
   24    -1     99952        480           0        0           0         0         0       32      584      616 [Ljava.util.concurrent.ConcurrentHashMap$Node;
   25    -1     92104        480           0        0           0         0         0       24      584      608 [J
   26  4827     85600       1112           0     5112          38       700      9560     3912    12528    16440 java.lang.reflect.Constructor
   27    -1     81064        480           0        0           0         0         0       32      584      616 [Ljava.util.Hashtable$Entry;
   28  5065     76728       1320           0     4936          49      2359     21880     6600    22368    28968 java.util.ArrayList
   29    -1     66664        480           0        0           0         0         0       56      584      640 [Ljava.lang.Class;
   30    23     62952        528           0     2152          11       471      4328     1880     5528     7408 javax.xml.namespace.QName
   31  4822     52920        536           0      584           3        56      1496      344     2448     2792 java.lang.ref.SoftReference
   32    -1     50136        480           0        0           0         0         0       64      584      648 [[Ljava.lang.String;
   33    -1     49344        480           0        0           0         0         0       32      584      616 [Ljava.nio.ByteBuffer;
   34    -1     45288        480           0        0           0         0         0       24      584      608 [Z
   35  6856     44304        672           0     2000          15       271      4408     1936     5512     7448 org.apache.tomcat.util.modeler.AttributeInfo
   36    23     43952       1296           0    29704         226      8809     66856    34216    67072   101288 org.apache.xmlbeans.impl.schema.SchemaTypeImpl
   37    -1     39936        480           0        0           0         0         0       32      584      616 [Ljava.util.WeakHashMap$Entry;
   38  7870     39040       1536           0     6056          12      1147     13168     3512    17672    21184 org.hibernate.hql.ast.tree.IdentNode
   39    23     25992        600           0     7768          16      1989     11880     4000    16680    20680 sun.reflect.annotation.AnnotationInvocationHandler
   40    -1     25032        480           0        0           0         0         0       24      584      608 [S
   41    23     23632        720           0     6016          37      1413     11264     4840    13848    18688 java.lang.Package
   42  7984     23040       1200           0     2400           9       348      2248     1784     4312     6096 org.hibernate.loader.entity.EntityLoader
   43  5430     22016        608           0     3576          14       730      4000     2232     6352     8584 javax.management.MBeanAttributeInfo
   44    -1     20232        480           0        0           0         0         0       24      584      608 [Ljava.lang.ref.SoftReference;
   45    23     19800       1552           0    19296          92     15053     34496    30104    27784    57888 com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
   46  5222     19296        704           0      432           3        12      1128      344     2152     2496 java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
   47  7870     19136       1688           0    11032          35      2510     16968     7896    22664    30560 org.hibernate.hql.ast.tree.DotNode
   48  3395     18880        608           0     1296           6       128      2096      800     3424     4224 org.hibernate.hql.ast.HqlToken
   49  7101     18744        512           0      560           4        23      1440      464     2224     2688 org.apache.xmlbeans.SchemaType$Ref
   50    23     18696        504         240     2760           9       446      5184     1832     7376     9208 java.util.jar.Attributes$Name
   51  5071     18560       1016           0     3480          17       542      7696     2168    10488    12656 java.util.HashSet
   52  7838     18544       1312           0    22176          79      4632     26008    15896    34768    50664 org.hibernate.hql.ast.HqlSqlWalker
   53   275     18096       1360           0     1408          14       156      2488     1728     3992     5720 org.apache.xmlbeans.impl.schema.SchemaLocalElementImpl
   54    23     17560        688           0     3000          18       420     10120     2616    11592    14208 org.hibernate.loader.DefaultEntityAliases
   55  4642     17496        560           0    29880          19     14227     18288    23032    30112    53144 org.apache.tomcat.util.net.jsse.openssl.Cipher
   56  4820     16920        544           0     2368          16       394      5952     1832     7408     9240 java.lang.ref.Finalizer
   57  4668     16760       1176         432    16304         135     16355     45344    29024    36184    65208 java.math.BigInteger
   58    -1     16240        480           0        0           0         0         0       48      584      632 [Ljava.lang.reflect.Method;
   59  7872     15744       1800           0    10624          85      2028     24288    11048    26968    38016 org.hibernate.hql.ast.tree.FromElement
   60  5095     15360        984           0     6064          47      3249     14864     7632    15136    22768 java.util.Hashtable
   61  5267     14976        840           0     7088          34      1945     15536     5352    18816    24168 java.util.jar.JarFile
   62  6856     14880        632           0     2312          11       348      3576     1864     4968     6832 org.apache.tomcat.util.modeler.OperationInfo
   63  4920     14504        640           0     2744          11      1292      9640     2432    10912    13344 sun.nio.cs.UTF_8$Encoder
   64  6839     14496        624           0     3760          13      1189     11128     3528    12296    15824 org.apache.tomcat.util.digester.CallMethodRule
   65  5070     14240       1968           0     4576          57      1825     15136     6520    16024    22544 java.util.LinkedList
   66  5961     13936      11288           0    11440          23      4101     17216     8040    32472    40512 oracle.jdbc.driver.T4CPreparedStatement
   67    23     13920        992           0     3544          42       487      9072     4624     9784    14408 org.apache.xmlbeans.impl.schema.SchemaPropertyImpl
   68  5068     13776        976           0     4952          32      1845     15720     4856    17496    22352 java.util.WeakHashMap
   69  7946     13552       1192           0    10568          34      1847     12408     6744    18080    24824 org.hibernate.loader.hql.QueryLoader
   70    -1     13296        480           0        0           0         0         0       40      584      624 [Loracle.jdbc.driver.OracleSqlReadOnly$ODBCAction;
   71    -1     12904        480           0        0           0         0         0       40      584      624 [[B
   72    23     12816        512           0     1336           3       163      1104      672     2488     3160 org.apache.xmlbeans.impl.schema.XmlValueRef
   73  8042     12096       5000           0    14432          53      3665     18384    11056    27984    39040 org.hibernate.persister.entity.SingleTableEntityPersister
   74  7872     11712       1384           0     6136          36      1305     11944     5608    14664    20272 org.hibernate.hql.ast.tree.FromClause
   75  5071     11632       1000           0     1504           8       197      2656      984     4488     5472 java.util.HashMap$KeySet
   76  8473     11280       1064           0     2224          19       292      4256     1832     6008     7840 sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl
   77  5430     11200        608           0     3528          14       668      2776     2168     5232     7400 javax.management.MBeanOperationInfo
   78    23     10912        664           0     4536          35      5202     12720     8552     9936    18488 sun.misc.FDBigInteger
   79  5221     10848        680           0      728           3        36      1712      392     2960     3352 java.util.concurrent.locks.ReentrantLock$NonfairSync
   80    23     10720        616           0     4256          24      1385     12064     4240    13216    17456 org.apache.xmlbeans.QNameSet
   81  7881     10648       1272           0     6544          23      1646      6360     5168     9504    14672 org.hibernate.hql.ast.tree.SelectClause
   82    19     10640       1024           0      632           5        50      1952      592     3248     3840 org.hibernate.hql.ast.tree.SqlNode
   83    31     10512        552           0      640           4        30      1712      544     2560     3104 org.hibernate.util.SoftLimitMRUCache$KeyedSoftReference
   84  8114     10440        624           0     1200          12       142      2184     1480     2896     4376 org.hibernate.tuple.StandardProperty
   85    23     10360        552           0    10328          87      4036     27920    11216    28920    40136 java.lang.invoke.MemberName
   86  4115     10296       1088           0     1440          10       108      2808     1336     4384     5720 com.sun.xml.bind.v2.model.impl.RuntimeElementPropertyInfoImpl
   87    23     10208        528           0     1584          10       466      3576     1712     4272     5984 com.sun.org.apache.xerces.internal.xni.QName
   88  7653     10160        784           0     1152           9        74      1608     1224     2728     3952 org.hibernate.ejb.metamodel.SingularAttributeImpl
   89    -1     10008        480           0        0           0         0         0       32      584      616 [Lorg.hibernate.LockMode;
   90    -1     10008        480           0        0           0         0         0       24      584      608 [Lorg.hibernate.loader.EntityAliases;
   91    -1     10008        480           0        0           0         0         0       48      584      632 [Lorg.hibernate.type.EntityType;
   92    23      9984        552           0     1840           7       410      4512     1288     5928     7216 java.lang.ref.ReferenceQueue
   93  7872      9968       1208           0     4544          11       953      5040     2952     8152    11104 org.hibernate.hql.ast.tree.BinaryLogicOperatorNode
   94    23      9888       1104           0     7072          97      2508     32160    14160    27336    41496 ch.qos.logback.classic.Logger
   95  7860      9680       1432           0     2048          20       231      3768     2240     5488     7728 org.hibernate.hql.ast.tree.QueryNode
   96    23      9672        664           0     3480          25       416      5936     2544     8088    10632 java.util.concurrent.locks.ReentrantReadWriteLock
   97    23      9600        608           0     2960          15       894     10168     2760    11720    14480 oracle.jdbc.driver.T4CTTIoac
   98    23      8832        504           0     1936           3       241      2712      888     4544     5432 org.hibernate.engine.query.QueryPlanCache$HQLQueryPlanKey
   99    23      8704        528           0     1344           6       159      1248     1000     2408     3408 com.sun.xml.bind.v2.runtime.Name
  100  4668      8688        544           0     1904          25       346      7264     2296     7880    10176 java.util.concurrent.atomic.AtomicLong
  101  8455      8568        544           0     1336           4       105      2184      576     3712     4288 sun.reflect.NativeConstructorAccessorImpl
  102  5065      8544       1384           0     5288          59      2245     16864     7080    17336    24416 java.util.Vector
  103  5229      8448        712           0     1296           4       190      2496      696     4048     4744 java.util.jar.JarFile$JarFileEntry
  104  7861      8128       1256           0     1096           3       133       632      592     2640     3232 org.hibernate.hql.ast.tree.LiteralNode
  105    23      8000        592           0     2088          15       271      5912     1896     7120     9016 org.hibernate.LockOptions
  106    23      7808        624           0     2296           7       294      3848     1224     5848     7072 org.hibernate.hql.ast.ErrorCounter
  107  7837      7808        976           0     5680          23      1991      9624     4984    11704    16688 org.hibernate.hql.ast.HqlParser
  108    23      7808        944           0     9952          34      1680      9344     6408    14512    20920 org.hibernate.hql.ast.QueryTranslatorImpl
  109  4668      7704        568           0     5272          55      2356     17392     6840    17168    24008 java.lang.Long
  110    23      7648        504           0     3240          10       589      7552     1592     9968    11560 java.util.zip.ZipCoder
  111  5068      7616       1432           0    15584          93      9536     41816    19104    41728    60832 java.util.concurrent.ConcurrentHashMap
  112    23      7560        584           0     2608          21       559      4800     2464     5992     8456 java.util.ResourceBundle$CacheKey
  113  4629      7560        784           0      256           1         6       152      104     1208     1312 sun.reflect.DelegatingClassLoader
  114  5430      7552        576           0     1640           8       246      1432     1072     2896     3968 javax.management.MBeanParameterInfo
  115    51      7504       1016           0      768           5        61      1088      608     2576     3184 java.util.LinkedHashSet
  116    -1      7496        480           0        0           0         0         0       24      584      608 [D
  117    23      7488        904           0     2168          27       332      5416     2448     6568     9016 java.util.Collections$UnmodifiableMap
  118  6856      7456        560           0      688           2        43       376      336     1480     1816 org.apache.tomcat.util.modeler.ParameterInfo
  119    23      7440        592           0     1552          14       174      2576     1744     3376     5120 org.hibernate.engine.NamedQueryDefinition
  120  1228      7296       1000           0      648           3        40       784      456     2280     2736 java.util.Collections$UnmodifiableSet
